ID,Gender,Race,Side,Blendshape,Rating,Pgender,Prace,ScreenSize
BA006,Female,Black,Right,Cheeks Puffed,2,Female,Black,medium/large
BA007,Female,Black,Right,Cheeks Puffed,4,Female,Black,large
BA008,Female,Black,Right,Cheeks Puffed,3,Female,Black,medium
BA009,Female,Black,Right,Cheeks Puffed,4,Female,Black,medium
BA010,Female,Black,Right,Cheeks Puffed,4,Female,Black,medium
BA011,Female,Black,Right,Cheeks Puffed,2,Female,Black,medium/large
BA012,Female,Black,Right,Cheeks Puffed,5,Female,Black,medium
BA013,Female,Black,Right,Cheeks Puffed,5,Female,Black,medium
BA014,Female,Black,Right,Cheeks Puffed,2,Female,Black,medium
BA015,Female,Black,Right,Cheeks Puffed,2,Female,Black,medium
BA016,Female,Black,Right,Cheeks Puffed,1,Female,Black,large
BA017,Female,Black,Right,Cheeks Puffed,4,Female,Black,medium
BA018,Female,Black,Right,Cheeks Puffed,3,Female,Black,small
BA019,Female,Black,Right,Cheeks Puffed,3,Female,Black,medium
BA020,Female,Black,Right,Cheeks Puffed,5,Female,Black,medium/large
WA001,Female,Black,Right,Cheeks Puffed,3,Female,White,medium
WA002,Female,Black,Right,Cheeks Puffed,3,Female,White,small
WA003,Female,Black,Right,Cheeks Puffed,2,Female,White,medium
WA004,Female,Black,Right,Cheeks Puffed,1,Female,White,medium/large
WA005,Female,Black,Right,Cheeks Puffed,1,Female,White,medium/large
WA006,Female,Black,Right,Cheeks Puffed,2,Female,White,large
WA007,Female,Black,Right,Cheeks Puffed,2,Female,White,medium
WA008,Female,Black,Right,Cheeks Puffed,3,Female,White,medium
WA009,Female,Black,Right,Cheeks Puffed,3,Female,White,medium/large
WA010,Female,Black,Right,Cheeks Puffed,2,Female,White,medium/large
WA011,Female,Black,Right,Cheeks Puffed,4,Female,White,medium
WA012,Female,Black,Right,Cheeks Puffed,2,Female,White,medium
WA013,Female,Black,Right,Cheeks Puffed,1,Female,White,medium
WA014,Female,Black,Right,Cheeks Puffed,2,Female,White,medium
WA015,Female,Black,Right,Cheeks Puffed,3,Female,White,medium
WA016,Female,Black,Right,Cheeks Puffed,2,Female,White,large
WA017,Female,Black,Right,Cheeks Puffed,2,Female,White,medium/large
WA018,Female,Black,Right,Cheeks Puffed,2,Female,White,medium
WA019,Female,Black,Right,Cheeks Puffed,3,Female,White,medium
WA020,Female,Black,Right,Cheeks Puffed,2,Female,White,medium
MA001,Female,Black,Right,Cheeks Puffed,5,Male,Asian,medium
MA002,Female,Black,Right,Cheeks Puffed,1,Male,Asian,large
MA003,Female,Black,Right,Cheeks Puffed,4,Male,Asian,medium/large
MA004,Female,Black,Right,Cheeks Puffed,3,Male,Asian,large
MA005,Female,Black,Right,Cheeks Puffed,2,Male,Asian,large
MA006,Female,Black,Right,Cheeks Puffed,4,Male,Asian,medium
MA007,Female,Black,Right,Cheeks Puffed,3,Male,Asian,medium
MA008,Female,Black,Right,Cheeks Puffed,3,Male,Asian,medium
MA009,Female,Black,Right,Cheeks Puffed,2,Male,Asian,medium
MA010,Female,Black,Right,Cheeks Puffed,3,Male,Asian,small
MA011,Female,Black,Right,Cheeks Puffed,2,Male,Asian,small
MA012,Female,Black,Right,Cheeks Puffed,2,Male,Asian,medium/large
MA013,Female,Black,Right,Cheeks Puffed,3,Male,Asian,medium
MA014,Female,Black,Right,Cheeks Puffed,4,Male,Asian,small
MA015,Female,Black,Right,Cheeks Puffed,4,Male,Asian,medium/large
MA016,Female,Black,Right,Cheeks Puffed,2,Male,Asian,small
MA017,Female,Black,Right,Cheeks Puffed,2,Male,Asian,medium
MA018,Female,Black,Right,Cheeks Puffed,2,Male,Asian,medium
MA019,Female,Black,Right,Cheeks Puffed,4,Male,Asian,medium/large
MA020,Female,Black,Right,Cheeks Puffed,3,Male,Asian,medium
MBA001,Female,Black,Right,Cheeks Puffed,2,Male,Black,medium/large
MBA002,Female,Black,Right,Cheeks Puffed,2,Male,Black,small
MBA003,Female,Black,Right,Cheeks Puffed,2,Male,Black,medium
MBA004,Female,Black,Right,Cheeks Puffed,2,Male,Black,small
MBA005,Female,Black,Right,Cheeks Puffed,3,Male,Black,small
MBA006,Female,Black,Right,Cheeks Puffed,3,Male,Black,medium
MBA007,Female,Black,Right,Cheeks Puffed,3,Male,Black,medium/large
MBA008,Female,Black,Right,Cheeks Puffed,3,Male,Black,medium
MBA009,Female,Black,Right,Cheeks Puffed,3,Male,Black,medium/large
MBA010,Female,Black,Right,Cheeks Puffed,3,Male,Black,medium/large
MBA011,Female,Black,Right,Cheeks Puffed,3,Male,Black,large
MBA012,Female,Black,Right,Cheeks Puffed,3,Male,Black,large
MBA013,Female,Black,Right,Cheeks Puffed,4,Male,Black,medium
MBA014,Female,Black,Right,Cheeks Puffed,2,Male,Black,medium
MBA015,Female,Black,Right,Cheeks Puffed,4,Male,Black,medium
MBA016,Female,Black,Right,Cheeks Puffed,4,Male,Black,medium
MBA017,Female,Black,Right,Cheeks Puffed,3,Male,Black,medium
MBA018,Female,Black,Right,Cheeks Puffed,2,Male,Black,medium
MBA019,Female,Black,Right,Cheeks Puffed,2,Male,Black,medium
MBA020,Female,Black,Right,Cheeks Puffed,3,Male,Black,large
MWA001,Female,Black,Right,Cheeks Puffed,2,Male,White,medium
MWA002,Female,Black,Right,Cheeks Puffed,1,Male,White,medium
MWA003,Female,Black,Right,Cheeks Puffed,3,Male,White,medium
MWA004,Female,Black,Right,Cheeks Puffed,1,Male,White,medium
MWA005,Female,Black,Right,Cheeks Puffed,4,Male,White,medium
MWA006,Female,Black,Right,Cheeks Puffed,2,Male,White,medium
MWA007,Female,Black,Right,Cheeks Puffed,3,Male,White,medium/large
MWA008,Female,Black,Right,Cheeks Puffed,2,Male,White,medium/large
MWA009,Female,Black,Right,Cheeks Puffed,3,Male,White,large
MWA010,Female,Black,Right,Cheeks Puffed,1,Male,White,medium
MWA011,Female,Black,Right,Cheeks Puffed,2,Male,White,medium/large
MWA012,Female,Black,Right,Cheeks Puffed,2,Male,White,small
MWA013,Female,Black,Right,Cheeks Puffed,1,Male,White,medium
MWA014,Female,Black,Right,Cheeks Puffed,4,Male,White,medium/large
MWA015,Female,Black,Right,Cheeks Puffed,3,Male,White,large
MWA016,Female,Black,Right,Cheeks Puffed,2,Male,White,large
MWA017,Female,Black,Right,Cheeks Puffed,2,Male,White,medium
MWA018,Female,Black,Right,Cheeks Puffed,1,Male,White,medium/large
MWA019,Female,Black,Right,Cheeks Puffed,3,Male,White,medium/large
MWA020,Female,Black,Right,Cheeks Puffed,2,Male,White,large
FA001,Female,Black,Right,Cheeks Inhaled,5,Female,Asian,medium
FA002,Female,Black,Right,Cheeks Inhaled,5,Female,Asian,medium
FA003,Female,Black,Right,Cheeks Inhaled,5,Female,Asian,small
FA004,Female,Black,Right,Cheeks Inhaled,3,Female,Asian,medium
FA005,Female,Black,Right,Cheeks Inhaled,5,Female,Asian,small
FA006,Female,Black,Right,Cheeks Inhaled,5,Female,Asian,small
FA007,Female,Black,Right,Cheeks Inhaled,4,Female,Asian,medium
FA008,Female,Black,Right,Cheeks Inhaled,4,Female,Asian,large
FA009,Female,Black,Right,Cheeks Inhaled,4,Female,Asian,medium
FA010,Female,Black,Right,Cheeks Inhaled,4,Female,Asian,medium
FA011,Female,Black,Right,Cheeks Inhaled,5,Female,Asian,small
FA012,Female,Black,Right,Cheeks Inhaled,3,Female,Asian,medium/large
FA013,Female,Black,Right,Cheeks Inhaled,3,Female,Asian,medium/large
FA014,Female,Black,Right,Cheeks Inhaled,5,Female,Asian,medium
FA015,Female,Black,Right,Cheeks Inhaled,3,Female,Asian,medium
FA016,Female,Black,Right,Cheeks Inhaled,4,Female,Asian,small
FA017,Female,Black,Right,Cheeks Inhaled,5,Female,Asian,medium
FA018,Female,Black,Right,Cheeks Inhaled,3,Female,Asian,medium
FA019,Female,Black,Right,Cheeks Inhaled,3,Female,Asian,large
FA020,Female,Black,Right,Cheeks Inhaled,5,Female,Asian,medium
BA001,Female,Black,Right,Cheeks Inhaled,4,Female,Black,medium
BA002,Female,Black,Right,Cheeks Inhaled,2,Female,Black,small
BA003,Female,Black,Right,Cheeks Inhaled,5,Female,Black,medium
BA004,Female,Black,Right,Cheeks Inhaled,4,Female,Black,medium
BA005,Female,Black,Right,Cheeks Inhaled,3,Female,Black,small
BA006,Female,Black,Right,Cheeks Inhaled,2,Female,Black,medium/large
BA007,Female,Black,Right,Cheeks Inhaled,5,Female,Black,large
BA008,Female,Black,Right,Cheeks Inhaled,4,Female,Black,medium
BA009,Female,Black,Right,Cheeks Inhaled,5,Female,Black,medium
BA010,Female,Black,Right,Cheeks Inhaled,4,Female,Black,medium
BA011,Female,Black,Right,Cheeks Inhaled,2,Female,Black,medium/large
BA012,Female,Black,Right,Cheeks Inhaled,5,Female,Black,medium
BA013,Female,Black,Right,Cheeks Inhaled,5,Female,Black,medium
BA014,Female,Black,Right,Cheeks Inhaled,2,Female,Black,medium
BA015,Female,Black,Right,Cheeks Inhaled,2,Female,Black,medium
BA016,Female,Black,Right,Cheeks Inhaled,2,Female,Black,large
BA017,Female,Black,Right,Cheeks Inhaled,4,Female,Black,medium
BA018,Female,Black,Right,Cheeks Inhaled,4,Female,Black,small
BA019,Female,Black,Right,Cheeks Inhaled,5,Female,Black,medium
BA020,Female,Black,Right,Cheeks Inhaled,5,Female,Black,medium/large
WA001,Female,Black,Right,Cheeks Inhaled,4,Female,White,medium
WA002,Female,Black,Right,Cheeks Inhaled,4,Female,White,small
WA003,Female,Black,Right,Cheeks Inhaled,4,Female,White,medium
WA004,Female,Black,Right,Cheeks Inhaled,2,Female,White,medium/large
WA005,Female,Black,Right,Cheeks Inhaled,3,Female,White,medium/large
WA006,Female,Black,Right,Cheeks Inhaled,2,Female,White,large
WA007,Female,Black,Right,Cheeks Inhaled,3,Female,White,medium
WA008,Female,Black,Right,Cheeks Inhaled,3,Female,White,medium
WA009,Female,Black,Right,Cheeks Inhaled,3,Female,White,medium/large
WA010,Female,Black,Right,Cheeks Inhaled,3,Female,White,medium/large
WA011,Female,Black,Right,Cheeks Inhaled,4,Female,White,medium
WA012,Female,Black,Right,Cheeks Inhaled,3,Female,White,medium
WA013,Female,Black,Right,Cheeks Inhaled,3,Female,White,medium
WA014,Female,Black,Right,Cheeks Inhaled,2,Female,White,medium
WA015,Female,Black,Right,Cheeks Inhaled,4,Female,White,medium
WA016,Female,Black,Right,Cheeks Inhaled,2,Female,White,large
WA017,Female,Black,Right,Cheeks Inhaled,2,Female,White,medium/large
WA018,Female,Black,Right,Cheeks Inhaled,3,Female,White,medium
WA019,Female,Black,Right,Cheeks Inhaled,5,Female,White,medium
WA020,Female,Black,Right,Cheeks Inhaled,3,Female,White,medium
MA001,Female,Black,Right,Cheeks Inhaled,5,Male,Asian,medium
MA002,Female,Black,Right,Cheeks Inhaled,5,Male,Asian,large
MA003,Female,Black,Right,Cheeks Inhaled,4,Male,Asian,medium/large
MA004,Female,Black,Right,Cheeks Inhaled,4,Male,Asian,large
MA005,Female,Black,Right,Cheeks Inhaled,2,Male,Asian,large
MA006,Female,Black,Right,Cheeks Inhaled,5,Male,Asian,medium
MA007,Female,Black,Right,Cheeks Inhaled,5,Male,Asian,medium
MA008,Female,Black,Right,Cheeks Inhaled,3,Male,Asian,medium
MA009,Female,Black,Right,Cheeks Inhaled,3,Male,Asian,medium
MA010,Female,Black,Right,Cheeks Inhaled,4,Male,Asian,small
MA011,Female,Black,Right,Cheeks Inhaled,4,Male,Asian,small
MA012,Female,Black,Right,Cheeks Inhaled,4,Male,Asian,medium/large
MA013,Female,Black,Right,Cheeks Inhaled,3,Male,Asian,medium
MA014,Female,Black,Right,Cheeks Inhaled,3,Male,Asian,small
MA015,Female,Black,Right,Cheeks Inhaled,3,Male,Asian,medium/large
MA016,Female,Black,Right,Cheeks Inhaled,2,Male,Asian,small
MA017,Female,Black,Right,Cheeks Inhaled,3,Male,Asian,medium
MA018,Female,Black,Right,Cheeks Inhaled,4,Male,Asian,medium
MA019,Female,Black,Right,Cheeks Inhaled,5,Male,Asian,medium/large
MA020,Female,Black,Right,Cheeks Inhaled,2,Male,Asian,medium
MBA001,Female,Black,Right,Cheeks Inhaled,4,Male,Black,medium/large
MBA002,Female,Black,Right,Cheeks Inhaled,3,Male,Black,small
MBA003,Female,Black,Right,Cheeks Inhaled,3,Male,Black,medium
MBA004,Female,Black,Right,Cheeks Inhaled,3,Male,Black,small
MBA005,Female,Black,Right,Cheeks Inhaled,4,Male,Black,small
MBA006,Female,Black,Right,Cheeks Inhaled,5,Male,Black,medium
MBA007,Female,Black,Right,Cheeks Inhaled,3,Male,Black,medium/large
MBA008,Female,Black,Right,Cheeks Inhaled,2,Male,Black,medium
MBA009,Female,Black,Right,Cheeks Inhaled,5,Male,Black,medium/large
MBA010,Female,Black,Right,Cheeks Inhaled,3,Male,Black,medium/large
MBA011,Female,Black,Right,Cheeks Inhaled,2,Male,Black,large
MBA012,Female,Black,Right,Cheeks Inhaled,3,Male,Black,large
MBA013,Female,Black,Right,Cheeks Inhaled,4,Male,Black,medium
MBA014,Female,Black,Right,Cheeks Inhaled,3,Male,Black,medium
MBA015,Female,Black,Right,Cheeks Inhaled,5,Male,Black,medium
MBA016,Female,Black,Right,Cheeks Inhaled,5,Male,Black,medium
MBA017,Female,Black,Right,Cheeks Inhaled,3,Male,Black,medium
MBA018,Female,Black,Right,Cheeks Inhaled,3,Male,Black,medium
MBA019,Female,Black,Right,Cheeks Inhaled,2,Male,Black,medium
MBA020,Female,Black,Right,Cheeks Inhaled,3,Male,Black,large
MWA001,Female,Black,Right,Cheeks Inhaled,5,Male,White,medium
MWA002,Female,Black,Right,Cheeks Inhaled,2,Male,White,medium
MWA003,Female,Black,Right,Cheeks Inhaled,3,Male,White,medium
MWA004,Female,Black,Right,Cheeks Inhaled,2,Male,White,medium
MWA005,Female,Black,Right,Cheeks Inhaled,3,Male,White,medium
MWA006,Female,Black,Right,Cheeks Inhaled,5,Male,White,medium
MWA007,Female,Black,Right,Cheeks Inhaled,4,Male,White,medium/large
MWA008,Female,Black,Right,Cheeks Inhaled,3,Male,White,medium/large
MWA009,Female,Black,Right,Cheeks Inhaled,2,Male,White,large
MWA010,Female,Black,Right,Cheeks Inhaled,2,Male,White,medium
MWA011,Female,Black,Right,Cheeks Inhaled,3,Male,White,medium/large
MWA012,Female,Black,Right,Cheeks Inhaled,4,Male,White,small
MWA013,Female,Black,Right,Cheeks Inhaled,2,Male,White,medium
MWA014,Female,Black,Right,Cheeks Inhaled,3,Male,White,medium/large
MWA015,Female,Black,Right,Cheeks Inhaled,4,Male,White,large
MWA016,Female,Black,Right,Cheeks Inhaled,3,Male,White,large
MWA017,Female,Black,Right,Cheeks Inhaled,3,Male,White,medium
MWA018,Female,Black,Right,Cheeks Inhaled,2,Male,White,medium/large
MWA019,Female,Black,Right,Cheeks Inhaled,3,Male,White,medium/large
MWA020,Female,Black,Right,Cheeks Inhaled,2,Male,White,large
FA001,Female,Black,Left,Neutral,1,Female,Asian,medium
FA002,Female,Black,Left,Neutral,1,Female,Asian,medium
FA003,Female,Black,Left,Neutral,2,Female,Asian,small
FA004,Female,Black,Left,Neutral,1,Female,Asian,medium
FA005,Female,Black,Left,Neutral,1,Female,Asian,small
FA006,Female,Black,Left,Neutral,1,Female,Asian,small
FA007,Female,Black,Left,Neutral,1,Female,Asian,medium
FA008,Female,Black,Left,Neutral,1,Female,Asian,large
FA009,Female,Black,Left,Neutral,1,Female,Asian,medium
FA010,Female,Black,Left,Neutral,1,Female,Asian,medium
FA011,Female,Black,Left,Neutral,1,Female,Asian,small
FA012,Female,Black,Left,Neutral,1,Female,Asian,medium/large
FA013,Female,Black,Left,Neutral,1,Female,Asian,medium/large
FA014,Female,Black,Left,Neutral,1,Female,Asian,medium
FA015,Female,Black,Left,Neutral,1,Female,Asian,medium
FA016,Female,Black,Left,Neutral,2,Female,Asian,small
FA017,Female,Black,Left,Neutral,1,Female,Asian,medium
FA018,Female,Black,Left,Neutral,1,Female,Asian,medium
FA019,Female,Black,Left,Neutral,1,Female,Asian,large
FA020,Female,Black,Left,Neutral,1,Female,Asian,medium
BA001,Female,Black,Left,Neutral,1,Female,Black,medium
BA002,Female,Black,Left,Neutral,1,Female,Black,small
BA003,Female,Black,Left,Neutral,1,Female,Black,medium
BA004,Female,Black,Left,Neutral,1,Female,Black,medium
BA005,Female,Black,Left,Neutral,1,Female,Black,small
BA006,Female,Black,Left,Neutral,1,Female,Black,medium/large
BA007,Female,Black,Left,Neutral,1,Female,Black,large
BA008,Female,Black,Left,Neutral,2,Female,Black,medium
BA009,Female,Black,Left,Neutral,1,Female,Black,medium
BA010,Female,Black,Left,Neutral,1,Female,Black,medium
BA011,Female,Black,Left,Neutral,1,Female,Black,medium/large
BA012,Female,Black,Left,Neutral,1,Female,Black,medium
BA013,Female,Black,Left,Neutral,1,Female,Black,medium
BA014,Female,Black,Left,Neutral,1,Female,Black,medium
BA015,Female,Black,Left,Neutral,1,Female,Black,medium
BA016,Female,Black,Left,Neutral,1,Female,Black,large
BA017,Female,Black,Left,Neutral,1,Female,Black,medium
BA018,Female,Black,Left,Neutral,1,Female,Black,small
BA019,Female,Black,Left,Neutral,1,Female,Black,medium
BA020,Female,Black,Left,Neutral,1,Female,Black,medium/large
WA001,Female,Black,Left,Neutral,2,Female,White,medium
WA002,Female,Black,Left,Neutral,1,Female,White,small
WA003,Female,Black,Left,Neutral,1,Female,White,medium
WA004,Female,Black,Left,Neutral,1,Female,White,medium/large
WA005,Female,Black,Left,Neutral,1,Female,White,medium/large
WA006,Female,Black,Left,Neutral,1,Female,White,large
WA007,Female,Black,Left,Neutral,1,Female,White,medium
WA008,Female,Black,Left,Neutral,1,Female,White,medium
WA009,Female,Black,Left,Neutral,1,Female,White,medium/large
WA010,Female,Black,Left,Neutral,1,Female,White,medium/large
WA011,Female,Black,Left,Neutral,1,Female,White,medium
WA012,Female,Black,Left,Neutral,1,Female,White,medium
WA013,Female,Black,Left,Neutral,1,Female,White,medium
WA014,Female,Black,Left,Neutral,1,Female,White,medium
WA015,Female,Black,Left,Neutral,1,Female,White,medium
WA016,Female,Black,Left,Neutral,1,Female,White,large
WA017,Female,Black,Left,Neutral,1,Female,White,medium/large
WA018,Female,Black,Left,Neutral,1,Female,White,medium
WA019,Female,Black,Left,Neutral,1,Female,White,medium
WA020,Female,Black,Left,Neutral,1,Female,White,medium
MA001,Female,Black,Left,Neutral,1,Male,Asian,medium
MA002,Female,Black,Left,Neutral,1,Male,Asian,large
MA003,Female,Black,Left,Neutral,1,Male,Asian,medium/large
MA004,Female,Black,Left,Neutral,1,Male,Asian,large
MA005,Female,Black,Left,Neutral,1,Male,Asian,large
MA006,Female,Black,Left,Neutral,2,Male,Asian,medium
MA007,Female,Black,Left,Neutral,1,Male,Asian,medium
MA008,Female,Black,Left,Neutral,1,Male,Asian,medium
MA009,Female,Black,Left,Neutral,1,Male,Asian,medium
MA010,Female,Black,Left,Neutral,1,Male,Asian,small
MA011,Female,Black,Left,Neutral,2,Male,Asian,small
MA012,Female,Black,Left,Neutral,1,Male,Asian,medium/large
MA013,Female,Black,Left,Neutral,1,Male,Asian,medium
MA014,Female,Black,Left,Neutral,1,Male,Asian,small
MA015,Female,Black,Left,Neutral,1,Male,Asian,medium/large
MA016,Female,Black,Left,Neutral,1,Male,Asian,small
MA017,Female,Black,Left,Neutral,1,Male,Asian,medium
MA018,Female,Black,Left,Neutral,1,Male,Asian,medium
MA019,Female,Black,Left,Neutral,1,Male,Asian,medium/large
MA020,Female,Black,Left,Neutral,1,Male,Asian,medium
MBA001,Female,Black,Left,Neutral,1,Male,Black,medium/large
MBA002,Female,Black,Left,Neutral,2,Male,Black,small
MBA003,Female,Black,Left,Neutral,1,Male,Black,medium
MBA004,Female,Black,Left,Neutral,1,Male,Black,small
MBA005,Female,Black,Left,Neutral,1,Male,Black,small
MBA006,Female,Black,Left,Neutral,3,Male,Black,medium
MBA007,Female,Black,Left,Neutral,1,Male,Black,medium/large
MBA008,Female,Black,Left,Neutral,1,Male,Black,medium
MBA009,Female,Black,Left,Neutral,1,Male,Black,medium/large
MBA010,Female,Black,Left,Neutral,1,Male,Black,medium/large
MBA011,Female,Black,Left,Neutral,1,Male,Black,large
MBA012,Female,Black,Left,Neutral,1,Male,Black,large
MBA013,Female,Black,Left,Neutral,1,Male,Black,medium
MBA014,Female,Black,Left,Neutral,1,Male,Black,medium
MBA015,Female,Black,Left,Neutral,1,Male,Black,medium
MBA016,Female,Black,Left,Neutral,1,Male,Black,medium
